output,source_idx,source_file,steps,duration_sec,xyz_min_mm,xyz_max_mm,speed_mean_mm_s,speed_max_mm_s,xyz_err_mean_mm,xyz_err_p95_mm,xyz_err_max_mm
card_pos_066.npy,16,episode_18.hdf5,425,21.25,"[178.846, -5.13, 165.504]","[390.709, 27.792, 229.233]",16.058038423634283,48.704071879762566,0.14558378199291055,0.29949606826353825,0.39870999690544634
card_pos_067.npy,17,episode_19.hdf5,468,23.4,"[195.996, -5.211, 165.85]","[391.24, 32.047, 229.295]",14.033863877088498,47.69079493641242,0.11687029002411659,0.2669434141371517,0.3210899382219868
card_pos_068.npy,18,episode_20.hdf5,386,19.3,"[190.255, -5.144, 165.974]","[390.637, 33.243, 229.228]",17.659125106337402,43.44135834299574,0.11386551950985789,0.25416353159032556,0.28727576368468627
card_pos_069.npy,19,episode_21.hdf5,420,21.0,"[173.49, -5.103, 166.442]","[392.604, 43.855, 229.112]",17.52587733717439,49.24377618034051,0.19031398273413447,0.4414190251877817,0.4936257940675026
card_pos_070.npy,20,episode_23.hdf5,501,25.05,"[191.654, -7.387, 165.649]","[390.469, 30.511, 228.864]",14.808156355784176,62.767895174113036,0.13336015013941846,0.38369877067317226,0.4810834354013237
card_pos_071.npy,21,episode_24.hdf5,402,20.1,"[196.397, -12.753, 163.245]","[390.302, 30.448, 229.187]",17.36487060888432,59.73462659383286,0.11026012881746289,0.2670661588990823,0.3342790421549978
card_pos_072.npy,22,episode_25.hdf5,407,20.35,"[172.575, -5.281, 165.287]","[390.38, 38.487, 229.119]",17.406064596779405,72.13127319412592,0.13760089106211568,0.26427484501934534,0.3688759471185677
card_pos_073.npy,23,episode_26.hdf5,467,23.35,"[172.533, -5.398, 165.732]","[395.261, 36.82, 229.198]",15.642042847257493,54.18974173334358,0.15448121678463872,0.3489579536275645,0.4067890282713238
card_pos_074.npy,24,episode_27.hdf5,461,23.05,"[173.55, -5.148, 165.104]","[393.008, 32.349, 229.211]",14.580745745571301,46.038946256545934,0.14643631479880342,0.3435387792966841,0.5223178202254055
card_pos_075.npy,25,episode_28.hdf5,452,22.6,"[175.623, -5.189, 165.657]","[393.973, 34.004, 229.105]",15.419446386728728,52.371558113455706,0.16830591885059845,0.3995201390082376,0.42377520559628107
card_pos_076.npy,26,episode_29.hdf5,438,21.9,"[176.415, -5.302, 165.853]","[394.335, 34.77, 229.077]",15.929077521688354,39.64621687616084,0.14151015172673384,0.3373130536009459,0.4281640002497975
card_pos_077.npy,27,episode_30.hdf5,456,22.8,"[175.815, -4.89, 165.539]","[392.835, 29.022, 228.596]",15.39450399081394,51.6770608587427,0.13419817232024217,0.29711235675945696,0.32690327678426095
card_pos_078.npy,28,episode_31.hdf5,420,21.0,"[175.46, -5.185, 164.666]","[394.295, 29.374, 228.871]",17.704015770640716,66.48738370309323,0.11436962152356726,0.28558273854702254,0.37500257549885885
card_pos_079.npy,29,episode_33.hdf5,396,19.8,"[174.74, -5.185, 166.455]","[390.303, 29.049, 229.4]",18.47490383096271,83.52910626761052,0.13742339742502147,0.2814811301240908,0.3737066639436123
card_pos_080.npy,30,episode_34.hdf5,423,21.15,"[175.703, -5.266, 167.137]","[393.047, 33.113, 229.092]",15.82785312316874,48.52598149421364,0.12611023602829985,0.2035755827996363,0.23672999028677927
card_pos_081.npy,31,episode_35.hdf5,433,21.65,"[173.983, -5.466, 166.476]","[391.202, 31.038, 229.161]",16.15579692666472,46.33195350345755,0.105358466638809,0.23612476380404687,0.24349285935755746
card_pos_082.npy,32,episode_36.hdf5,414,20.7,"[174.602, -4.986, 165.819]","[394.043, 30.049, 229.515]",17.419716135684794,58.93782091766557,0.15107581755809965,0.30696338862353045,0.34049578946321546
card_pos_083.npy,33,episode_37.hdf5,387,19.35,"[177.696, -5.357, 166.12]","[390.307, 28.838, 229.346]",17.870932995750373,82.09543197117308,0.1101739334004908,0.2962993102293736,0.3405383311218406
card_pos_084.npy,34,episode_38.hdf5,404,20.2,"[175.933, -5.327, 165.469]","[391.488, 30.795, 229.293]",16.574186265525082,47.437455377723865,0.10926212319237825,0.26683821713524114,0.3330684460235529
card_pos_085.npy,35,episode_39.hdf5,363,18.15,"[174.686, -5.172, 166.345]","[394.256, 34.977, 229.09]",19.891696996066763,52.33054163116696,0.1384962127488614,0.3719159059868996,0.3820843771468699
card_pos_086.npy,36,episode_40.hdf5,399,19.95,"[175.034, -5.786, 165.792]","[390.624, 30.617, 228.981]",17.547975611452806,48.74198230111953,0.13777516003567417,0.32307661438327023,0.38539143873486986
card_pos_087.npy,37,episode_41.hdf5,389,19.45,"[175.189, -5.356, 165.076]","[390.408, 26.482, 229.279]",18.62236047643857,57.62945250949492,0.09819275253867314,0.19811413821728405,0.23733807923279626
card_pos_088.npy,38,episode_42.hdf5,357,17.85,"[175.366, -5.145, 164.368]","[390.289, 31.767, 229.605]",19.76748083596426,46.42115411422691,0.12612876634627135,0.29714192362933767,0.3835707758593303
card_pos_089.npy,39,episode_43.hdf5,408,20.4,"[174.68, -5.136, 166.046]","[396.142, 29.417, 229.081]",16.687514415209698,56.72362322056489,0.1541117062253885,0.35677076046387884,0.4638515091273776
card_pos_090.npy,40,episode_44.hdf5,344,17.2,"[174.602, -5.489, 165.841]","[395.753, 34.759, 229.176]",20.393375241116715,46.91981331699655,0.1284859542065937,0.2645311657148107,0.30326761487166637
card_pos_091.npy,41,episode_45.hdf5,376,18.8,"[176.069, -5.196, 165.141]","[393.117, 30.493, 229.286]",18.461966906216528,54.05256459686437,0.15818970218514422,0.2899824805150881,0.34917702014698937
card_pos_092.npy,42,episode_46.hdf5,401,20.05,"[174.192, -5.271, 165.384]","[396.143, 28.646, 230.234]",17.877798098032166,48.7290616078425,0.11285363924549767,0.2648207389692039,0.2742970668879413
card_pos_093.npy,43,episode_47.hdf5,415,20.75,"[176.227, -5.21, 166.463]","[395.375, 28.626, 229.189]",16.910768593607592,67.8356669822531,0.14648313642110855,0.3476755694278571,0.4830862940369232
card_pos_094.npy,44,episode_49.hdf5,407,20.35,"[175.947, -5.239, 166.319]","[392.534, 31.865, 229.132]",17.298239690620548,44.38499482516386,0.1697030769154786,0.3597938238399557,0.4411832705477759
card_pos_095.npy,45,episode_50.hdf5,402,20.1,"[182.318, -5.214, 166.034]","[393.694, 29.875, 229.082]",16.999697817549837,76.31387309833643,0.11677620493610372,0.2637689576230993,0.31195725442438993
card_pos_096.npy,46,episode_51.hdf5,389,19.45,"[176.121, -5.137, 165.573]","[394.013, 29.941, 228.964]",17.4021631987065,48.777634674938,0.16009886293974043,0.4316704098897176,0.5468286165672108
card_pos_097.npy,47,episode_52.hdf5,378,18.9,"[175.285, -5.224, 165.035]","[390.488, 32.771, 229.329]",19.86862050410895,84.8131054086593,0.15367355730725826,0.33662682845970876,0.3909057048362126
card_pos_098.npy,48,episode_53.hdf5,398,19.9,"[185.184, -5.117, 166.018]","[392.827, 31.701, 229.001]",16.015817822102683,40.96104691938357,0.1342498417708979,0.25388031274718587,0.284881591067808
card_pos_099.npy,49,episode_54.hdf5,389,19.45,"[181.339, -5.278, 165.61]","[393.368, 34.545, 229.06]",17.555479634690048,53.7770038821189,0.197556392740699,0.7550599644095806,0.9583798231586936
